PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF
10000000,1E-10,2,0,25,astral-multi,0.010309
10000000,1E-10,2,0,25,astral-multi-w-true,0.010309
10000000,1E-10,2,0,25,apro,0.010309
10000000,1E-10,2,0,25,apro-w-true,0.010309
10000000,1E-10,2,0,25,apro-v2,0.010309
10000000,1E-10,2,0,25,duptree,0.010309
10000000,1E-10,2,0,25,mulrf,0.010309
10000000,1E-10,2,0,25,stag,NA
10000000,1E-10,2,0,50,astral-multi,0.020619
10000000,1E-10,2,0,50,astral-multi-w-true,0.020619
10000000,1E-10,2,0,50,apro,0.020619
10000000,1E-10,2,0,50,apro-w-true,0.020619
10000000,1E-10,2,0,50,apro-v2,0.020619
10000000,1E-10,2,0,50,duptree,0.010309
10000000,1E-10,2,0,50,mulrf,0.010309
10000000,1E-10,2,0,50,stag,NA
10000000,1E-10,2,0,100,astral-multi,0.020619
10000000,1E-10,2,0,100,astral-multi-w-true,0.020619
10000000,1E-10,2,0,100,apro,0
10000000,1E-10,2,0,100,apro-w-true,0
10000000,1E-10,2,0,100,apro-v2,0
10000000,1E-10,2,0,100,duptree,0
10000000,1E-10,2,0,100,mulrf,0.010309
10000000,1E-10,2,0,100,stag,0.041237
10000000,1E-10,2,0,500,astral-multi,0
10000000,1E-10,2,0,500,astral-multi-w-true,0
10000000,1E-10,2,0,500,apro,0
10000000,1E-10,2,0,500,apro-w-true,0
10000000,1E-10,2,0,500,apro-v2,0
10000000,1E-10,2,0,500,duptree,0
10000000,1E-10,2,0,500,mulrf,0
10000000,1E-10,2,0,500,stag,0.010309
10000000,1E-10,2,25,25,astral-multi,0.319588
10000000,1E-10,2,25,25,astral-multi-w-true,0.092784
10000000,1E-10,2,25,25,apro,0.164948
10000000,1E-10,2,25,25,apro-w-true,0.164948
10000000,1E-10,2,25,25,apro-v2,0.164948
10000000,1E-10,2,25,25,duptree,0.721649
10000000,1E-10,2,25,25,mulrf,0.247423
10000000,1E-10,2,25,25,stag,NA
10000000,1E-10,2,25,50,astral-multi,0.154639
10000000,1E-10,2,25,50,astral-multi-w-true,0.113402
10000000,1E-10,2,25,50,apro,0.103093
10000000,1E-10,2,25,50,apro-w-true,0.103093
10000000,1E-10,2,25,50,apro-v2,0.103093
10000000,1E-10,2,25,50,duptree,0.42268
10000000,1E-10,2,25,50,mulrf,0.164948
10000000,1E-10,2,25,50,stag,NA
10000000,1E-10,2,25,100,astral-multi,0.14433
